mean,lower,upper,base_fpr
0.0,0.0,0.0,0.0
0.7798033015659951,0.5745907697876403,0.9850158333443498,0.01
0.7806985396612333,0.5751179889200153,0.9862790904024512,0.02
0.7815937777564712,0.5756056594319647,0.9875818960809777,0.03
0.7824890158517095,0.5760540155675828,0.9889240161358361,0.04
0.8052956758583694,0.5992709397321727,1.0,0.05
0.879964723477417,0.7367437206002284,1.0,0.06
0.9176624825810584,0.7939648526914012,1.0,0.07
0.949354462530933,0.856402923378576,1.0,0.08
0.9495806530071236,0.856539649642803,1.0,0.09
0.9609956546721252,0.8727722655748837,1.0,0.1
0.9682575594340299,0.8819652799470863,1.0,0.11
0.9682575594340299,0.8819652799470863,1.0,0.12
0.9819830496301084,0.9198401486452885,1.0,0.13
0.9819830496301084,0.9198401486452885,1.0,0.14
0.984547152194211,0.9233072838129491,1.0,0.15
0.984547152194211,0.9233072838129491,1.0,0.16
0.995658263305322,0.9793316713941628,1.0,0.17
0.995658263305322,0.9793316713941628,1.0,0.18
0.9976190476190477,0.9847972266496798,1.0,0.19
0.9976190476190477,0.9847972266496798,1.0,0.2
0.9976190476190477,0.9847972266496798,1.0,0.21
1.0,1.0,1.0,0.22
1.0,1.0,1.0,0.23
1.0,1.0,1.0,0.24
1.0,1.0,1.0,0.25
1.0,1.0,1.0,0.26
1.0,1.0,1.0,0.27
1.0,1.0,1.0,0.28
1.0,1.0,1.0,0.29
1.0,1.0,1.0,0.3
1.0,1.0,1.0,0.31
1.0,1.0,1.0,0.32
1.0,1.0,1.0,0.33
1.0,1.0,1.0,0.34
1.0,1.0,1.0,0.35000000000000003
1.0,1.0,1.0,0.36
1.0,1.0,1.0,0.37
1.0,1.0,1.0,0.38
1.0,1.0,1.0,0.39
1.0,1.0,1.0,0.4
1.0,1.0,1.0,0.41000000000000003
1.0,1.0,1.0,0.42
1.0,1.0,1.0,0.43
1.0,1.0,1.0,0.44
1.0,1.0,1.0,0.45
1.0,1.0,1.0,0.46
1.0,1.0,1.0,0.47000000000000003
1.0,1.0,1.0,0.48
1.0,1.0,1.0,0.49
1.0,1.0,1.0,0.5
1.0,1.0,1.0,0.51
1.0,1.0,1.0,0.52
1.0,1.0,1.0,0.53
1.0,1.0,1.0,0.54
1.0,1.0,1.0,0.55
1.0,1.0,1.0,0.56
1.0,1.0,1.0,0.5700000000000001
1.0,1.0,1.0,0.58
1.0,1.0,1.0,0.59
1.0,1.0,1.0,0.6
1.0,1.0,1.0,0.61
1.0,1.0,1.0,0.62
1.0,1.0,1.0,0.63
1.0,1.0,1.0,0.64
1.0,1.0,1.0,0.65
1.0,1.0,1.0,0.66
1.0,1.0,1.0,0.67
1.0,1.0,1.0,0.68
1.0,1.0,1.0,0.6900000000000001
1.0,1.0,1.0,0.7000000000000001
1.0,1.0,1.0,0.71
1.0,1.0,1.0,0.72
1.0,1.0,1.0,0.73
1.0,1.0,1.0,0.74
1.0,1.0,1.0,0.75
1.0,1.0,1.0,0.76
1.0,1.0,1.0,0.77
1.0,1.0,1.0,0.78
1.0,1.0,1.0,0.79
1.0,1.0,1.0,0.8
1.0,1.0,1.0,0.81
1.0,1.0,1.0,0.8200000000000001
1.0,1.0,1.0,0.8300000000000001
1.0,1.0,1.0,0.84
1.0,1.0,1.0,0.85
1.0,1.0,1.0,0.86
1.0,1.0,1.0,0.87
1.0,1.0,1.0,0.88
1.0,1.0,1.0,0.89
1.0,1.0,1.0,0.9
1.0,1.0,1.0,0.91
1.0,1.0,1.0,0.92
1.0,1.0,1.0,0.93
1.0,1.0,1.0,0.9400000000000001
1.0,1.0,1.0,0.9500000000000001
1.0,1.0,1.0,0.96
1.0,1.0,1.0,0.97
1.0,1.0,1.0,0.98
1.0,1.0,1.0,0.99
1.0,1.0,1.0,1.0
