x,mean,ci_lower,ci_upper
1.0,0.5572222222222223,0.5218236111111112,0.5916777777777779
6.0,0.5832777777777778,0.5240541666666667,0.6528333333333334
11.0,0.6317222222222222,0.5773222222222223,0.6837777777777778
16.0,0.7378888888888889,0.6817194444444445,0.7921875
21.0,0.8081666666666667,0.7628319444444445,0.8534458333333333
26.0,0.8675,0.8383194444444444,0.8973333333333333
31.0,0.9059444444444443,0.8859944444444443,0.9257249999999999
36.0,0.9128888888888887,0.8940527777777779,0.9322791666666668
41.0,0.9367777777777778,0.9196652777777776,0.9519444444444446
46.0,0.9403333333333332,0.9228874999999999,0.9568333333333333
51.0,0.9379444444444444,0.9216666666666666,0.9535555555555554
56.0,0.9489444444444445,0.9379444444444445,0.9603347222222223
61.0,0.9540555555555554,0.9452777777777778,0.963113888888889
66.0,0.9583333333333334,0.9492763888888888,0.9670555555555556
71.0,0.9637777777777778,0.9550000000000001,0.9728333333333333
76.0,0.9595555555555556,0.9496097222222223,0.9685569444444445
81.0,0.9592777777777778,0.9479972222222223,0.970398611111111
86.0,0.9574999999999999,0.9461111111111112,0.9686125000000001
91.0,0.9593333333333334,0.9468277777777778,0.9707250000000001
96.0,0.9588888888888889,0.948498611111111,0.9689486111111113
101.0,0.9613888888888888,0.9515527777777777,0.9717222222222223
106.0,0.9616666666666666,0.9510555555555555,0.973002777777778
111.0,0.9668333333333334,0.957276388888889,0.9767236111111112
116.0,0.9681111111111111,0.9562777777777779,0.9783416666666666
121.0,0.9651111111111111,0.9525541666666667,0.9771166666666666
126.0,0.9643333333333335,0.9523319444444445,0.9767777777777777
131.0,0.9655555555555555,0.9537777777777778,0.9759444444444444
136.0,0.9653888888888889,0.9540541666666665,0.9750583333333334
141.0,0.9658888888888889,0.953888888888889,0.9769444444444444
146.0,0.9680000000000002,0.9561624999999999,0.979390277777778
151.0,0.9657777777777777,0.9558263888888888,0.9748333333333331
156.0,0.967,0.9563333333333335,0.9765
161.0,0.964111111111111,0.9520541666666668,0.9753902777777776
166.0,0.9643888888888889,0.9526652777777777,0.9760638888888888
171.0,0.9660555555555556,0.9568875,0.9752777777777778
176.0,0.9661111111111111,0.9553305555555557,0.9769458333333335
181.0,0.9647222222222223,0.9511111111111111,0.9769458333333335
186.0,0.9641666666666666,0.952,0.9757291666666668
191.0,0.9656666666666667,0.9534944444444444,0.9770555555555556
196.0,0.9638333333333333,0.9528305555555554,0.9750027777777778
201.0,0.9640555555555554,0.952661111111111,0.9758916666666666
206.0,0.9631111111111113,0.9508847222222223,0.9752791666666667
