questions asked,mean,var,lower,upper
1,0.6286187263951116,0.004292905929899627,0.6041530550704054,0.6530843977198179
6,0.8311965495731636,0.0025664879589994013,0.8122796017213981,0.8501134974249293
11,0.8815334970074815,0.0017235444689153983,0.8660313197796673,0.897035674235296
16,0.9020041810571234,0.0013228615516288887,0.8884229653164618,0.9155853967977851
21,0.933901039602917,0.0009905428201434792,0.9221488692452864,0.9456532099605479
26,0.9533929935952791,0.00044683569183634546,0.9454997523049343,0.9612862348856238
31,0.9626561519773824,0.00034835766960149154,0.9556867720629217,0.9696255318918429
36,0.9616627463996914,0.00034350622904138014,0.9547420665459267,0.9685834262534563
41,0.972189468127795,0.00038423447690806405,0.9648699984395112,0.9795089378160798
46,0.9788101250444182,0.0003837599613663623,0.9714951763912244,0.986125073697612
51,0.982129869519915,0.0002124823970919355,0.9766868119260954,0.9875729271137343
56,0.9884265807348578,0.00011623722969081551,0.9844007632987928,0.9924523981709228
61,0.9916719366698991,5.525416456131876e-05,0.9888962914164984,0.9944475819232995
66,0.9930583861069096,4.726991717945928e-05,0.9904911023574419,0.9956256698563772
71,0.9889383663536175,9.985749371543913e-05,0.9852069665706653,0.9926697661365704
76,0.9931267716345367,5.1852324644263747e-05,0.9904379278787462,0.9958156153903271
81,0.9941751733626999,2.5617615223923115e-05,0.992285221249969,0.9960651254754312
86,0.9945180667390254,3.130132830610809e-05,0.9924289493934739,0.9966071840845772
91,0.994071760066577,3.358142796429105e-05,0.9919078907394212,0.9962356293937333
96,0.9935992900841469,4.7250157616335636e-05,0.9910325429731033,0.9961660371951904
101,0.9954558531846004,2.9443456050922662e-05,0.9934296833561846,0.9974820230130161
