,level_0,level_1,tpr,fpr
0,0.8,1.0,0.86,0.13953488372093026
1,0.8,1.05,0.86,0.13953488372093026
2,0.8,1.1,0.86,0.13953488372093026
3,0.8,1.1500000000000001,0.86,0.10465116279069764
4,0.8,1.2000000000000002,0.86,0.08139534883720934
5,0.8,1.2500000000000002,0.86,0.08139534883720934
6,0.8,1.3000000000000003,0.86,0.08139534883720934
7,0.8,1.3500000000000003,0.86,0.08139534883720934
8,0.8,1.4000000000000004,0.86,0.05813953488372092
9,0.8,1.4500000000000004,0.86,0.05813953488372092
10,0.8500000000000001,1.0,0.88,0.13953488372093026
11,0.8500000000000001,1.05,0.88,0.13953488372093026
12,0.8500000000000001,1.1,0.88,0.13953488372093026
13,0.8500000000000001,1.1500000000000001,0.88,0.10465116279069764
14,0.8500000000000001,1.2000000000000002,0.88,0.08139534883720934
15,0.8500000000000001,1.2500000000000002,0.88,0.08139534883720934
16,0.8500000000000001,1.3000000000000003,0.88,0.08139534883720934
17,0.8500000000000001,1.3500000000000003,0.88,0.08139534883720934
18,0.8500000000000001,1.4000000000000004,0.88,0.05813953488372092
19,0.8500000000000001,1.4500000000000004,0.88,0.05813953488372092
20,0.9000000000000001,1.0,0.89,0.17441860465116277
21,0.9000000000000001,1.05,0.89,0.17441860465116277
22,0.9000000000000001,1.1,0.89,0.17441860465116277
23,0.9000000000000001,1.1500000000000001,0.89,0.13953488372093026
24,0.9000000000000001,1.2000000000000002,0.89,0.11627906976744184
25,0.9000000000000001,1.2500000000000002,0.89,0.11627906976744184
26,0.9000000000000001,1.3000000000000003,0.89,0.11627906976744184
27,0.9000000000000001,1.3500000000000003,0.89,0.11627906976744184
28,0.9000000000000001,1.4000000000000004,0.89,0.09302325581395343
29,0.9000000000000001,1.4500000000000004,0.89,0.09302325581395343
30,0.9500000000000002,1.0,0.91,0.2558139534883721
31,0.9500000000000002,1.05,0.91,0.2558139534883721
32,0.9500000000000002,1.1,0.91,0.2558139534883721
33,0.9500000000000002,1.1500000000000001,0.91,0.2093023255813954
34,0.9500000000000002,1.2000000000000002,0.91,0.18604651162790697
35,0.9500000000000002,1.2500000000000002,0.91,0.17441860465116277
36,0.9500000000000002,1.3000000000000003,0.91,0.17441860465116277
37,0.9500000000000002,1.3500000000000003,0.91,0.16279069767441867
38,0.9500000000000002,1.4000000000000004,0.91,0.13953488372093026
39,0.9500000000000002,1.4500000000000004,0.91,0.13953488372093026
40,1.0000000000000002,1.0,0.94,0.3023255813953488
41,1.0000000000000002,1.05,0.94,0.3023255813953488
42,1.0000000000000002,1.1,0.94,0.3023255813953488
43,1.0000000000000002,1.1500000000000001,0.94,0.2558139534883721
44,1.0000000000000002,1.2000000000000002,0.94,0.2325581395348837
45,1.0000000000000002,1.2500000000000002,0.94,0.22093023255813948
46,1.0000000000000002,1.3000000000000003,0.94,0.22093023255813948
47,1.0000000000000002,1.3500000000000003,0.94,0.2093023255813954
48,1.0000000000000002,1.4000000000000004,0.94,0.18604651162790697
49,1.0000000000000002,1.4500000000000004,0.94,0.17441860465116277
50,1.0500000000000003,1.0,0.97,0.5
51,1.0500000000000003,1.05,0.97,0.5
52,1.0500000000000003,1.1,0.97,0.4534883720930232
53,1.0500000000000003,1.1500000000000001,0.97,0.39534883720930236
54,1.0500000000000003,1.2000000000000002,0.97,0.34883720930232553
55,1.0500000000000003,1.2500000000000002,0.97,0.33720930232558133
56,1.0500000000000003,1.3000000000000003,0.97,0.33720930232558133
57,1.0500000000000003,1.3500000000000003,0.97,0.32558139534883723
58,1.0500000000000003,1.4000000000000004,0.97,0.2790697674418605
59,1.0500000000000003,1.4500000000000004,0.97,0.2441860465116279
60,1.1000000000000003,1.0,0.99,0.6395348837209303
61,1.1000000000000003,1.05,0.99,0.6162790697674418
62,1.1000000000000003,1.1,0.99,0.5581395348837209
63,1.1000000000000003,1.1500000000000001,0.99,0.5
64,1.1000000000000003,1.2000000000000002,0.99,0.43023255813953487
65,1.1000000000000003,1.2500000000000002,0.99,0.40697674418604657
66,1.1000000000000003,1.3000000000000003,0.99,0.40697674418604657
67,1.1000000000000003,1.3500000000000003,0.99,0.39534883720930236
68,1.1000000000000003,1.4000000000000004,0.99,0.33720930232558133
69,1.1000000000000003,1.4500000000000004,0.99,0.2906976744186047
